investor_name,issuer,rank,cusip,value,weight
"Capital Research Global Investors","VERIZON COMMUNICATIONS INC",103,92343V104,851988822,0.2096
"Capital Research Global Investors","DOMINION ENERGY INC",104,25746U109,844630232,0.2078
"Capital Research Global Investors","VALE S A",105,91912E105,842061558,0.2072
"Capital Research Global Investors","REVVITY INC",106,714046109,838079901,0.2062
"Capital Research Global Investors","AUTOMATIC DATA PROCESSING IN",107,053015103,825486561,0.2031
"Capital Research Global Investors","FIDELITY NATL INFORMATION SV",108,31620M106,814416585,0.2004
"Capital Research Global Investors","XPO INC",109,983793100,813823850,0.2002
"Capital Research Global Investors","TFI INTL INC",110,87241L109,800906980,0.1970
"Capital Research Global Investors","FRANKLIN RESOURCES INC",111,354613101,793982511,0.1953
"Capital Research Global Investors","SHERWIN WILLIAMS CO",112,824348106,791008342,0.1946
"Capital Research Global Investors","SNOWFLAKE INC",113,833445109,789119177,0.1941
"Capital Research Global Investors","OTIS WORLDWIDE CORP",114,68902V107,788347637,0.1939
"Capital Research Global Investors","HASBRO INC",115,418056107,785367037,0.1932
"Capital Research Global Investors","COPART INC",116,217204106,784526253,0.1930
"Capital Research Global Investors","ZOETIS INC",117,98978V103,781652567,0.1923
"Capital Research Global Investors","INGERSOLL RAND INC",118,45687V106,758846700,0.1867
"Capital Research Global Investors","NVR INC",119,62944T105,743027763,0.1828
"Capital Research Global Investors","PNC FINL SVCS GROUP INC",120,693475105,738039436,0.1816
"Capital Research Global Investors","WASTE MGMT INC DEL",121,94106L109,729692897,0.1795
"Capital Research Global Investors","FLOOR & DECOR HLDGS INC",122,339750101,729327331,0.1794
"Capital Research Global Investors","GENERAL MLS INC",123,370334104,727095694,0.1789
"Capital Research Global Investors","ICON PLC",124,G4705A100,722886037,0.1778
"Capital Research Global Investors","PROLOGIS INC.",125,74340W103,706067839,0.1737
"Capital Research Global Investors","BERKSHIRE HATHAWAY INC DEL",126,084670702,698276438,0.1718
"Capital Research Global Investors","CSX CORP",127,126408103,692815941,0.1704
"Capital Research Global Investors","WILLIAMS SONOMA INC",128,969904101,678855204,0.1670
"Capital Research Global Investors","PENUMBRA INC",129,70975L107,673587473,0.1657
"Capital Research Global Investors","HONEYWELL INTL INC",130,438516106,668958747,0.1646
"Capital Research Global Investors","COREBRIDGE FINL INC",131,21871X109,666733918,0.1640
"Capital Research Global Investors","CENTERPOINT ENERGY INC",132,15189T107,657685704,0.1618
"Capital Research Global Investors","PROCTER AND GAMBLE CO",133,742718109,655295303,0.1612
"Capital Research Global Investors","MONSTER BEVERAGE CORP NEW",134,61174X109,603659472,0.1485
"Capital Research Global Investors","MARRIOTT INTL INC NEW",135,571903202,592791875,0.1458
"Capital Research Global Investors","WOODWARD INC",136,980745103,588599029,0.1448
"Capital Research Global Investors","WOLFSPEED INC",137,977852102,587950282,0.1446
"Capital Research Global Investors","GFL ENVIRONMENTAL INC",138,36168Q104,583760724,0.1436
"Capital Research Global Investors","WYNDHAM HOTELS & RESORTS INC",139,98311A105,576421256,0.1418
"Capital Research Global Investors","CAESARS ENTERTAINMENT INC NE",140,12769G100,572683193,0.1409
"Capital Research Global Investors","VISA INC",141,92826C839,568884797,0.1400
"Capital Research Global Investors","CATERPILLAR INC",142,149123101,562001849,0.1383
"Capital Research Global Investors","ALNYLAM PHARMACEUTICALS INC",143,02043Q107,560879567,0.1380
"Capital Research Global Investors","HAEMONETICS CORP MASS",144,405024100,557830300,0.1372
"Capital Research Global Investors","CONSTELLATION BRANDS INC",145,21036P108,543361410,0.1337
"Capital Research Global Investors","ALTRIA GROUP INC",146,02209S103,535700615,0.1318
"Capital Research Global Investors","YETI HLDGS INC",147,98585X104,526604756,0.1296
"Capital Research Global Investors","CITIGROUP INC",148,172967424,524093148,0.1289
"Capital Research Global Investors","PRINCIPAL FINANCIAL GROUP IN",149,74251V102,507384053,0.1248
"Capital Research Global Investors","QORVO INC",150,74736K101,506623043,0.1246
"Capital Research Global Investors","FIRST SOLAR INC",151,336433107,506616106,0.1246
"Capital Research Global Investors","COSTCO WHSL CORP NEW",152,22160K105,504185946,0.1240
"Capital Research Global Investors","LPL FINL HLDGS INC",153,50212V100,502631893,0.1237
"Capital Research Global Investors","CONSTELLATION ENERGY CORP",154,21037T109,478334350,0.1177
"Capital Research Global Investors","PINNACLE WEST CAP CORP",155,723484101,467520999,0.1150
"Capital Research Global Investors","IQVIA HLDGS INC",156,46266C105,461675285,0.1136
"Capital Research Global Investors","BRITISH AMERN TOB PLC",157,110448107,448624683,0.1104
"Capital Research Global Investors","GRAB HOLDINGS LIMITED",158,G4124C109,446609921,0.1099
"Capital Research Global Investors","WEATHERFORD INTL PLC",159,G48833118,435839009,0.1072
"Capital Research Global Investors","COGNIZANT TECHNOLOGY SOLUTIO",160,192446102,433386684,0.1066
"Capital Research Global Investors","FERRARI N V",161,N3167Y103,431875603,0.1063
"Capital Research Global Investors","STIFEL FINL CORP",162,860630102,421449542,0.1037
"Capital Research Global Investors","PIONEER NAT RES CO",163,723787107,417279007,0.1027
